Date/Time,Electricity:Facility [J](Zone Timestep),Gas:Facility [J](Zone Timestep)
 01/06  20:00:00,8095810.667991935,38631169.368571885
 01/06  21:00:00,7739891.969464695,44424561.68198132
 01/06  22:00:00,7310519.01928181,48161133.01930744
 01/06  23:00:00,6351718.963475017,52438013.05739908
 01/06  24:00:00,5301293.905211106,54228462.983921
 01/07  01:00:00,4230774.449772765,55833473.29647724
 01/07  02:00:00,3897941.444498545,57921976.03417217
 01/07  03:00:00,3771318.2668497902,59343524.36101878
 01/07  04:00:00,3632404.9354100516,57241583.6583932
 01/07  05:00:00,3603743.984075013,57738399.6954821
 01/07  06:00:00,3695004.843148898,56150860.279524274
 01/07  07:00:00,4365525.848576553,54348786.79077819
 01/07  08:00:00,5429025.204634633,52313016.44671578
 01/07  09:00:00,5015043.018137525,45189501.49844551
 01/07  10:00:00,3972841.3727264083,35196450.03686265
 01/07  11:00:00,3614619.27340816,26114766.63896561
 01/07  12:00:00,3343465.692105343,16481171.879056904
 01/07  13:00:00,3042469.018161195,10627583.042338938
 01/07  14:00:00,2908594.119320286,7543769.8311721925
 01/07  15:00:00,2898050.8468370587,6155416.592461388
 01/07  16:00:00,3248402.433726371,9531636.058042761
 01/07  17:00:00,4359771.912064573,12815393.213829596
 01/07  18:00:00,6538795.573544601,22908626.894515116
 01/07  19:00:00,7968176.71977837,30186557.651353963
 01/07  20:00:00,8242868.517239142,38843724.78166254
 01/07  21:00:00,7885043.225772891,44592650.42806197
 01/07  22:00:00,7421546.36516236,47398141.97443143
 01/07  23:00:00,6356192.23395071,49632170.984906144
 01/07  24:00:00,5267778.966910797,51740237.985432215
 01/08  01:00:00,4134715.372033439,53327456.53169159
 01/08  02:00:00,3740599.508512202,53815537.34979314
 01/08  03:00:00,3530114.9931032215,53047673.66460382
 01/08  04:00:00,3479817.3018002403,53258835.51615022
 01/08  05:00:00,3451899.828504791,53775229.871241644
 01/08  06:00:00,3614238.5725023276,54043949.60907626
 01/08  07:00:00,4452300.707207938,56617288.30447674
 01/08  08:00:00,5558002.380397579,55684750.786997676
 01/08  09:00:00,5294311.987844575,52484854.19389912
 01/08  10:00:00,4554250.307436206,50378456.31439841
 01/08  11:00:00,4595594.431513315,51726259.73792254
 01/08  12:00:00,4594325.622062407,49136956.86250989
 01/08  13:00:00,4482441.679784318,48219313.94558083
 01/08  14:00:00,4294110.638366917,43713576.67438198
 01/08  15:00:00,4116590.59453944,37966207.27623213
 01/08  16:00:00,4231035.0193608,35184279.83876355
 01/08  17:00:00,5332791.054586517,38217282.356850825
 01/08  18:00:00,7440802.912461382,46457399.546976484
 01/08  19:00:00,8754824.294180425,50724773.194762126
 01/08  20:00:00,8883595.582418183,55573380.59856858
 01/08  21:00:00,8417405.886007776,58493565.50007746
 01/08  22:00:00,7956470.720139689,61365509.25859475
 01/08  23:00:00,6793350.575691132,61046819.357640386
 01/08  24:00:00,5660258.092118122,61987747.29540043
 01/09  01:00:00,4458436.248163268,62467298.769039005
 01/09  02:00:00,4003354.0773051507,61088723.26876058
 01/09  03:00:00,3776485.226388088,59753103.656091385
 01/09  04:00:00,3677809.822735755,58574713.552861005
 01/09  05:00:00,3595507.246810359,57805118.64907315
 01/09  06:00:00,3787816.6189746778,59016734.02603823
 01/09  07:00:00,4674956.907494849,63554375.89812612
 01/09  08:00:00,5626691.990461802,59719717.480510324
 01/09  09:00:00,5129223.194380487,51570069.91186865
 01/09  10:00:00,4022811.22374692,41182993.891788036
 01/09  11:00:00,3699934.3195421672,33587942.417973205
 01/09  12:00:00,3449798.155541352,24618034.032537736
 01/09  13:00:00,3228650.142719933,20369467.991364725
 01/09  14:00:00,3188382.259443031,19291934.87055973
 01/09  15:00:00,3137919.3338961345,16179648.333716013
 01/09  16:00:00,3347934.1748205638,16152477.775523245
 01/09  17:00:00,4497881.19307379,20073671.73140554
 01/09  18:00:00,6572998.137385618,27425414.67888929
 01/09  19:00:00,7887983.282201909,31656673.66426065
 01/09  20:00:00,8058930.49670582,37681613.65398225
 01/09  21:00:00,7578045.953406986,40212825.66616561
 01/09  22:00:00,7085340.143380893,42294918.30179572
 01/09  23:00:00,5990629.555261574,43022038.42802624
 01/09  24:00:00,4917674.667058017,44221841.56821791
 01/10  01:00:00,3775564.1461087796,44643298.13445504
 01/10  02:00:00,3357716.777821924,44235995.223831706
 01/10  03:00:00,3136458.0808678675,43046503.47179499
 01/10  04:00:00,3071377.168833396,42744956.60814027
 01/10  05:00:00,2975379.198867994,41618031.49288606
 01/10  06:00:00,3122827.133785117,41659438.13797375
 01/10  07:00:00,3924721.566033035,43973752.95778064
 01/10  08:00:00,4909087.254607136,40992395.910359085
 01/10  09:00:00,4461495.366742923,34145156.40491035
 01/10  10:00:00,3421700.8571399846,25496766.03384354
 01/10  11:00:00,3183745.163606401,20117868.5952348
 01/10  12:00:00,3060888.257976037,14469767.018645901
 01/10  13:00:00,2917751.691574831,12257033.766866002
 01/10  14:00:00,2958382.4095322634,13290840.866794642
 01/10  15:00:00,3052783.1645607613,13959706.533748431
 01/10  16:00:00,3365308.638068932,16608311.979151372
 01/10  17:00:00,4537390.35943535,21107482.665603925
 01/10  18:00:00,6678589.5310359625,30184728.543672554
 01/10  19:00:00,8061614.401999599,36192779.18742201
 01/10  20:00:00,8116114.819822348,39178505.69333764
 01/10  21:00:00,7580168.3923619315,40272365.856330544
 01/10  22:00:00,7013343.03946924,40419271.33671963
 01/10  23:00:00,5922815.483990852,41254945.81648976
 01/10  24:00:00,4744957.682673803,39715601.096293114
 01/11  01:00:00,3622354.991038203,40645362.02963187
 01/11  02:00:00,3281736.156713641,42253326.05444493
 01/11  03:00:00,3049779.553325331,40784269.20713842
 01/11  04:00:00,3074312.794453428,42821896.23268438
 01/11  05:00:00,3084853.7589538204,44476179.22551814
 01/11  06:00:00,3288393.840423236,45982599.19446582
 01/11  07:00:00,3963040.3105109134,44977135.448423415
 01/11  08:00:00,5031901.777224257,44202908.67083166
 01/11  09:00:00,4618491.55671854,38248364.17420152
 01/11  10:00:00,3633644.8462464,31034046.257813897
 01/11  11:00:00,3361067.696534795,24750825.907247707
 01/11  12:00:00,3194693.7949722763,17966153.228253912
 01/11  13:00:00,3025593.198390029,15075133.94888047
 01/11  14:00:00,2934089.3144900175,12659361.419837998
 01/11  15:00:00,2916795.4192622006,10412295.380335832
 01/11  16:00:00,3121407.0965114585,10243848.276219212
 01/11  17:00:00,4278501.535270982,14351974.259917518
 01/11  18:00:00,6289276.051913725,20025176.213449165
 01/11  19:00:00,7563693.005534364,23198864.12941123
 01/11  20:00:00,7663862.288699814,27377165.064098485
 01/11  21:00:00,7190417.96215518,30102515.624615025
 01/11  22:00:00,6641055.198897446,30704865.889629185
 01/11  23:00:00,5617521.202758501,33288690.623980664
 01/11  24:00:00,4553459.029234061,34719033.92054303
 01/12  01:00:00,3513768.895876104,37812215.8754309
 01/12  02:00:00,3202338.391675172,40181446.22205836
 01/12  03:00:00,3044716.9199561537,40652496.574597605
 01/12  04:00:00,3104293.7397778486,43604811.82958241
 01/12  05:00:00,3125712.1387489256,45543188.65639423
 01/12  06:00:00,3303175.002485216,46369690.419233866
 01/12  07:00:00,4076361.8573856894,47938279.515912645
 01/12  08:00:00,5215852.1142488355,49009164.550787844
 01/12  09:00:00,4834567.9983839225,43893646.07996174
 01/12  10:00:00,4005122.209096477,40735593.894638754
 01/12  11:00:00,3913634.565200768,39178894.81236429
 01/12  12:00:00,3889848.81545457,36115678.09770281
 01/12  13:00:00,3786683.590106974,34945290.56382628
 01/12  14:00:00,3564746.043118343,29124349.510346062
 01/12  15:00:00,3470319.5543994163,24863553.175333463
 01/12  16:00:00,3714267.058763105,25721798.42451638
 01/12  17:00:00,4839147.460911979,28989195.826194573
 01/12  18:00:00,6904090.544084401,36076885.21709579
 01/12  19:00:00,8234605.996148755,40715619.865106106
 01/12  20:00:00,8400022.020078281,46597536.05111538
 01/12  21:00:00,7954793.284118622,50059377.24332758
 01/12  22:00:00,7504901.612741841,53257899.835158736
 01/12  23:00:00,6411542.484118094,54018431.64003912
 01/12  24:00:00,5358729.98972941,55741666.69792867
 01/13  01:00:00,4204443.956865364,55842612.6716117
 01/13  02:00:00,3743799.8444999256,54316194.59586346
 01/13  03:00:00,3529284.4531532815,53301814.28639533
 01/13  04:00:00,3508991.2867393955,54169167.79758052
 01/13  05:00:00,3510710.3346893284,55593471.797397725
 01/13  06:00:00,3625315.6055851975,54779929.56204827
 01/13  07:00:00,4480149.6275851345,58481546.65110391
 01/13  08:00:00,5451880.902053122,55174726.513490446
 01/13  09:00:00,5051787.578547707,49568633.524084605
 01/13  10:00:00,4265878.638382531,47546801.75706425
 01/13  11:00:00,4210123.734095644,46922306.886972055
 01/13  12:00:00,4141695.397606366,42693169.66531509
 01/13  13:00:00,4043062.200322378,41640580.593120806
 01/13  14:00:00,3863505.3208984477,36925554.55176189
 01/13  15:00:00,3798231.647262751,33425465.886688434
 01/13  16:00:00,3907031.2504674452,30755757.856351305
 01/13  17:00:00,4910619.9957221765,30857178.53107731
 01/13  18:00:00,7003207.659272371,38666967.79239545
 01/13  19:00:00,8337724.126576836,43410799.50653365
 01/13  20:00:00,8452685.85076133,47976107.20873201
 01/13  21:00:00,8063518.63635559,52901317.702706635
 01/13  22:00:00,7627261.475560764,56455378.19958893
 01/13  23:00:00,6641292.531119657,60018599.5350337
 01/13  24:00:00,5571118.971997528,61287896.537661426
 01/14  01:00:00,4527859.349161677,63598051.983947024
 01/14  02:00:00,4120986.212130563,63749141.73548865
 01/14  03:00:00,3924482.051444108,63344371.09991925
 01/14  04:00:00,3923309.017500931,64837404.59934886
 01/14  05:00:00,3895281.761795121,65351872.44423151
 01/14  06:00:00,4069268.5627117683,65929439.89332728
 01/14  07:00:00,4866029.226104051,67435592.6036302
 01/14  08:00:00,5851154.2301047435,63364373.581337966
 01/14  09:00:00,5240557.119405767,51111519.4361348
 01/14  10:00:00,4341273.340226963,44847303.54671695
 01/14  11:00:00,4108720.4292882592,39041986.67100061
 01/14  12:00:00,3969416.4026220846,32845787.78898361
 01/14  13:00:00,3778229.0357598644,29854895.145708904
 01/14  14:00:00,3646087.279112192,26813574.291738104
 01/14  15:00:00,3481228.798309602,21394934.71880038
 01/14  16:00:00,3537465.5949685997,17092894.14222822
 01/14  17:00:00,4529473.753284152,17262131.98721897
 01/14  18:00:00,6594151.987889985,24374086.469421268
 01/14  19:00:00,7789325.058732957,25543195.86377146
 01/14  20:00:00,7878587.761120573,29363171.41078897
 01/14  21:00:00,7407874.884520642,32165057.888632596
 01/14  22:00:00,6987851.8337526005,36102633.5773504
 01/14  23:00:00,5833774.723160255,36016322.67275924
 01/14  24:00:00,4649730.438077369,35622576.55945994
 01/15  01:00:00,3443091.090419239,35282944.510210715
 01/15  02:00:00,3045649.783984777,35679634.95528379
 01/15  03:00:00,2858807.811772023,35526803.00220012
 01/15  04:00:00,2820670.909209889,36054879.45181317
 01/15  05:00:00,2811351.8909055726,37057841.39075771
 01/15  06:00:00,3105769.988004632,40779818.98808417
 01/15  07:00:00,4006350.6225053454,44997694.64492388
 01/15  08:00:00,5166999.140540215,45509596.90288388
 01/15  09:00:00,4778528.338924738,39055420.383767776
 01/15  10:00:00,3818059.1312929387,31193811.116329476
 01/15  11:00:00,3588981.1017038072,25478684.201796077
 01/15  12:00:00,3494246.9004246756,20445361.903603494
 01/15  13:00:00,3371143.1079373746,19231219.394210447
 01/15  14:00:00,3352752.722766723,19158865.79053599
 01/15  15:00:00,3416192.682470732,19699364.465578932
 01/15  16:00:00,3560456.900537728,17695051.51852689
 01/15  17:00:00,4582147.054642241,18639254.034051873
 01/15  18:00:00,6533125.903044991,22783700.069286935
 01/15  19:00:00,7891540.452982347,28214616.257137455
 01/15  20:00:00,7839307.5170222055,28341453.788377322
 01/15  21:00:00,7386883.564119573,31620714.462681048
 01/15  22:00:00,6901955.439227895,33863683.93784802
 01/15  23:00:00,5862533.713487321,36769733.88742595
 01/15  24:00:00,4748304.443915301,38197707.62226844
 01/16  01:00:00,3649819.0821572654,41368608.62320751
 01/16  02:00:00,3342484.6230887244,43842310.258617274
 01/16  03:00:00,3277137.0459390446,46720907.33810088
 01/16  04:00:00,3344507.9515451607,49876396.82712176
 01/16  05:00:00,3436777.0282244114,53664804.74261768
 01/16  06:00:00,3522284.5319764987,52093882.22432001
 01/16  07:00:00,4383108.241778888,55956801.55544449
 01/16  08:00:00,5488676.65247814,56147599.633022286
 01/16  09:00:00,4960220.293578546,47191921.67104485
 01/16  10:00:00,3858623.129508251,36928793.58219564
 01/16  11:00:00,3570311.043753031,30232172.606143475
 01/16  12:00:00,3437962.3941978556,24332818.113557942
 01/16  13:00:00,3380741.9793105978,24359825.645753756
 01/16  14:00:00,3149502.546623601,18294646.494295552
 01/16  15:00:00,3015050.5651891544,12987949.015002104
 01/16  16:00:00,3166619.597883274,11434365.933845151
 01/16  17:00:00,4303333.027537622,15011289.388060372
 01/16  18:00:00,6374968.43735228,22275511.185720384
 01/16  19:00:00,7675660.808564545,26138270.782894805
 01/16  20:00:00,7746349.65783289,29549113.110312674
 01/16  21:00:00,7331544.95168373,33804991.23724151
 01/16  22:00:00,7048339.451389527,41353198.825409174
 01/16  23:00:00,6074020.409689783,45218849.52486939
 01/16  24:00:00,4951294.768567438,45114251.156304054
 01/17  01:00:00,3793838.532748841,45129189.78637637
 01/17  02:00:00,3471424.4419761295,47208690.49095152
 01/17  03:00:00,3364552.579704754,49003092.69393881
 01/17  04:00:00,3316058.2187660774,49134013.52175374
 01/17  05:00:00,3357305.4493552158,51590704.4847223
 01/17  06:00:00,3531026.723861389,52323154.22501105
 01/17  07:00:00,4380935.348655831,55902704.16007414
 01/17  08:00:00,5497686.1643705275,56386649.71588379
 01/17  09:00:00,5157193.45078435,52337857.74977361
 01/17  10:00:00,4218608.32342271,46329707.655443765
 01/17  11:00:00,4316006.52727501,49701020.62335569
 01/17  12:00:00,4292533.062197182,46643178.53552923
 01/17  13:00:00,4073012.2113382793,42433117.43090058
 01/17  14:00:00,3919440.801649136,38395031.3522962
 01/17  15:00:00,3968856.825250654,37887686.74130167
 01/17  16:00:00,4181974.0332201305,37940633.89537151
 01/17  17:00:00,5122300.101308804,36391291.99387987
 01/17  18:00:00,7189900.443509068,43550609.188659884
 01/17  19:00:00,8383929.551380713,44629656.69365539
 01/17  20:00:00,8497854.342019828,49169492.27561507
 01/17  21:00:00,8054419.675835294,52677993.667354956
 01/17  22:00:00,7613161.7976306155,56100135.50232789
 01/17  23:00:00,6565388.2748998,58047843.321085244
 01/17  24:00:00,5518395.219349025,59919478.344425656
 01/18  01:00:00,4426072.489886546,61633879.39618184
 01/18  02:00:00,4015087.9741098373,61400824.93103368
 01/18  03:00:00,3757595.2876431313,59263231.46704384
 01/18  04:00:00,3711861.1778827305,59466145.12871454
 01/18  05:00:00,3592507.339081237,57730699.38283351
 01/18  06:00:00,3697125.819626698,56659973.805319436
 01/18  07:00:00,4462158.067889648,58025443.5935469
 01/18  08:00:00,5387235.989150422,53507245.59422168
 01/18  09:00:00,4778116.248019216,42446675.13913206
 01/18  10:00:00,3561162.458723148,29171893.10793822
 01/18  11:00:00,3141036.8300375426,19033510.329933457
 01/18  12:00:00,2916599.947005919,10729298.767527774
 01/18  13:00:00,2917192.3240554854,12264552.751328994
 01/18  14:00:00,2804492.707458556,9293038.236626167
 01/18  15:00:00,2835272.4730960177,8298981.102992714
 01/18  16:00:00,3002240.542110423,7147176.949904652
 01/18  17:00:00,4082761.0039428277,9257556.684393551
 01/18  18:00:00,6071506.548546342,14358889.326708877
 01/18  19:00:00,7368861.211499703,18135668.80089611
 01/18  20:00:00,7512442.787162335,23450020.88975174
 01/18  21:00:00,7112121.443632461,28083903.362177417
 01/18  22:00:00,6712290.351868362,32587119.53339892
 01/18  23:00:00,5587067.299949313,32512609.34638354
 01/18  24:00:00,4474144.61880992,32662607.44282984
 01/19  01:00:00,3392770.800310237,34662087.74803618
 01/19  02:00:00,3166281.7988670045,39244494.00109629
 01/19  03:00:00,3120128.2494713194,42623362.84682591
 01/19  04:00:00,3188027.184079559,45792445.21584776
 01/19  05:00:00,3098506.1048115348,44835860.79600876
 01/19  06:00:00,3258905.900273548,45221863.957820475
 01/19  07:00:00,4067207.9247775236,47718277.081596866
 01/19  08:00:00,5072986.767741846,45307826.71012688
 01/19  09:00:00,4657121.578849416,39292229.92227851
 01/19  10:00:00,3772480.4812795348,34691794.75792376
 01/19  11:00:00,3427434.955755509,26512818.540337477
 01/19  12:00:00,3177437.093551437,17540887.55048152
 01/19  13:00:00,2854362.626922258,10626858.374734588
 01/19  14:00:00,2699501.3770599593,6554467.461742636
 01/19  15:00:00,2642021.086530651,3256274.403729244
 01/19  16:00:00,2824702.1937812073,2514546.2831407166
 01/19  17:00:00,3934651.183510473,5393252.657656621
 01/19  18:00:00,5983730.835242503,12069921.31997816
 01/19  19:00:00,7441331.745075641,20030241.814787343
 01/19  20:00:00,7630089.975099882,26524220.906681128
 01/19  21:00:00,7265465.224460886,32089882.298857328
 01/19  22:00:00,6826907.9915469065,35581901.04234155
 01/19  23:00:00,5847316.216961371,39308402.493619956
 01/19  24:00:00,4716151.504118092,38981603.03226822
 01/20  01:00:00,3638894.815749864,41087851.15480081
 01/20  02:00:00,3358333.281576799,44258256.397426695
 01/20  03:00:00,3331793.894744157,48148888.68026213
 01/20  04:00:00,3254001.653161069,47514850.676665366
 01/20  05:00:00,3170654.7112323437,46719557.773174584
 01/20  06:00:00,3291319.4715432194,46068942.14870522
 01/20  07:00:00,4043118.928096725,47091827.68814288
 01/20  08:00:00,5107408.060957704,46209827.2202947
 01/20  09:00:00,4674307.259890947,39744644.32722529
 01/20  10:00:00,3689405.8477921463,32526858.023791816
 01/20  11:00:00,3340105.7046217076,24236384.256776247
 01/20  12:00:00,3101274.9944296484,15555486.291685734
 01/20  13:00:00,2942206.1272218837,12922189.942376558
 01/20  14:00:00,2959881.935429041,13353338.112022862
 01/20  15:00:00,3160678.980139003,16796881.77608099
 01/20  16:00:00,3475673.1773529504,19508911.97622083
 01/20  17:00:00,4573125.835659863,22061549.591535076
 01/20  18:00:00,6488580.989490307,25250524.649601128
 01/20  19:00:00,7808933.492858487,29628694.19720874
 01/20  20:00:00,7872982.58413538,32867660.07020473
 01/20  21:00:00,7422371.038119191,36188729.039659314
 01/20  22:00:00,7035471.679103397,41028908.06804579
 01/20  23:00:00,6087564.840325473,45582030.595400356
 01/20  24:00:00,5078110.322647056,48431710.69287133
 01/21  01:00:00,4019136.258083739,50326398.95494788
 01/21  02:00:00,3683544.415482056,52334331.57301168
 01/21  03:00:00,3544886.796985675,53437785.04648185
 01/21  04:00:00,3559314.535992487,55337614.19588785
 01/21  05:00:00,3492642.1338024256,54844208.79389933
 01/21  06:00:00,3635107.861684153,54603554.21902459
 01/21  07:00:00,4476483.72401906,57284799.67926651
 01/21  08:00:00,5474644.114343201,53562284.29518777
 01/21  09:00:00,5232211.261555361,50922277.36513925
 01/21  10:00:00,4453786.467207591,47811430.10737368
 01/21  11:00:00,4351514.280480288,45403623.757081024
 01/21  12:00:00,4297377.556514524,41427069.375229776
 01/21  13:00:00,4158860.4883484025,39808047.89939079
 01/21  14:00:00,4062597.8243412175,37701070.75919176
 01/21  15:00:00,4172455.234522307,39451789.41426461
 01/21  16:00:00,4488336.8713125875,41926751.25881833
 01/21  17:00:00,5515077.489081615,43003635.19973844
 01/21  18:00:00,7474980.439593336,47383454.85961367
 01/21  19:00:00,8707850.18472472,49540514.16764827
 01/21  20:00:00,8784618.762201138,53036914.09743732
 01/21  21:00:00,8317731.561835555,55938450.27892475
 01/21  22:00:00,7819134.486793201,57822744.51201105
 01/21  23:00:00,6736209.366558663,59590229.61622867
 01/21  24:00:00,5448746.740314363,56492437.44021008
 01/22  01:00:00,4492213.276072678,62676366.56329078
 01/22  02:00:00,4023519.225664777,61209380.22974567
 01/22  03:00:00,3729934.284166748,58268459.31681537
 01/22  04:00:00,3654555.960858949,57823974.233177215
 01/22  05:00:00,3693057.4360704343,60076090.75947256
 01/22  06:00:00,3852665.1150898463,60283468.39582568
