Time,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Television,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,Emissions: CO2e: RESNET: Total,Emissions: CO2e: RESNET: Electricity,Emissions: CO2e: RESNET: Natural Gas,Emissions: NOx: RESNET: Total,Emissions: NOx: RESNET: Electricity,Emissions: NOx: RESNET: Natural Gas,Emissions: SO2: RESNET: Total,Emissions: SO2: RESNET: Electricity,Emissions: SO2: RESNET: Natural Gas,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Component Load: Heating: Ceilings,Component Load: Heating: Walls,Component Load: Heating: Rim Joists,Component Load: Heating: Foundation Walls,Component Load: Heating: Doors,Component Load: Heating: Windows,Component Load: Heating: Slabs,Component Load: Heating: Internal Mass,Component Load: Heating: Infiltration,Component Load: Heating: Mechanical Ventilation,Component Load: Heating: Internal Gains,Component Load: Cooling: Ceilings,Component Load: Cooling: Walls,Component Load: Cooling: Rim Joists,Component Load: Cooling: Foundation Walls,Component Load: Cooling: Doors,Component Load: Cooling: Windows,Component Load: Cooling: Slabs,Component Load: Cooling: Internal Mass,Component Load: Cooling: Infiltration,Component Load: Cooling: Natural Ventilation,Component Load: Cooling: Mechanical Ventilation,Component Load: Cooling: Internal Gains,Temperature: Attic - Vented,Temperature: Living Space,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
2007-01-01T10:00:00,1.95,13.69,0.06,0.06,0.0,0.63,0.39,0.02,0.03,0.06,0.03,0.02,0.14,0.06,0.04,0.36,13.69,2.55424,0.53699,2.01725,0.00261,0.00134,0.00126,0.00078,0.00077,1.0e-05,0.38,0.31,2.19,0.77,8.83,0.0,2.28,3.99,3.41,0.36,2.76,0.51,-5.51,-0.91,2.59,3.61,1.16,-3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,68.0,94.42,26.91,0.0,28.04,24.44,66.0,3.8,36.45,156.6
2007-01-01T11:00:00,1.87,8.58,0.05,0.06,0.0,0.59,0.38,0.02,0.03,0.06,0.02,0.02,0.16,0.06,0.05,0.36,8.58,1.76729,0.50307,1.26422,0.00209,0.0013,0.00079,0.00075,0.00074,1.0e-05,0.37,0.27,1.82,0.64,5.53,0.0,1.95,3.45,3.16,0.34,2.69,0.4,-6.5,-0.88,2.38,2.65,0.97,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24,68.0,84.33,26.91,0.0,34.52,27.99,50.0,3.8,44.06,172.45
2007-01-01T12:00:00,1.97,6.35,0.04,0.06,0.0,0.69,0.36,0.01,0.03,0.06,0.02,0.02,0.16,0.07,0.05,0.37,6.35,1.48519,0.54946,0.93573,0.00196,0.00137,0.00059,0.00079,0.00078,0.0,0.33,0.23,1.53,0.54,4.09,0.0,1.65,2.89,2.77,0.29,2.64,0.33,-6.38,-0.83,2.15,2.61,0.79,-3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,68.0,90.12,26.91,0.0,37.04,28.81,42.0,10.29,59.28,171.18
2007-01-01T13:00:00,1.6,5.53,0.04,0.06,0.0,0.34,0.35,0.01,0.03,0.07,0.02,0.02,0.15,0.08,0.06,0.38,5.53,1.27855,0.46415,0.81439,0.00163,0.00112,0.00051,0.00064,0.00064,0.0,0.3,0.19,1.3,0.46,3.56,0.0,1.41,2.02,2.17,0.24,2.58,0.31,-4.52,-0.77,1.24,2.78,0.72,-3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.81,68.0,106.71,26.91,0.0,39.92,29.7,34.0,16.11,59.91,121.73
2007-01-01T14:00:00,1.57,5.21,0.03,0.06,0.0,0.34,0.35,0.01,0.03,0.07,0.02,0.02,0.14,0.06,0.07,0.38,5.21,1.2332,0.46627,0.76692,0.00158,0.0011,0.00048,0.00063,0.00063,0.0,0.27,0.22,1.14,0.4,3.36,0.0,1.27,1.88,1.97,0.2,2.53,0.34,-5.2,-0.73,1.57,3.34,0.64,-3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72,68.0,119.38,26.91,0.0,37.94,28.72,37.0,18.34,41.21,166.11
2007-01-01T15:00:00,1.55,4.33,0.03,0.06,0.0,0.34,0.35,0.01,0.03,0.07,0.01,0.01,0.12,0.08,0.07,0.37,4.33,1.0724,0.43453,0.63787,0.00149,0.00109,0.0004,0.00062,0.00062,0.0,0.22,0.17,1.08,0.38,2.79,0.0,1.15,1.4,1.57,0.17,2.48,0.35,-3.93,-0.68,0.92,3.04,0.69,-3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.51,68.0,112.84,26.91,0.0,39.02,29.2,35.0,17.22,48.82,98.9
2007-01-01T16:00:00,1.6,4.45,0.05,0.06,0.0,0.33,0.39,0.01,0.03,0.06,0.01,0.01,0.12,0.06,0.08,0.39,4.45,1.15232,0.49726,0.65505,0.00154,0.00113,0.00041,0.00065,0.00065,0.0,0.23,0.18,1.01,0.36,2.87,0.0,1.11,0.98,1.32,0.14,2.44,0.38,-2.59,-0.63,0.46,3.07,0.67,-3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,68.0,102.69,26.91,0.0,35.96,27.1,36.0,13.87,19.65,116.97
2007-01-01T17:00:00,2.15,6.69,0.07,0.06,0.0,0.68,0.47,0.02,0.03,0.07,0.01,0.01,0.11,0.12,0.1,0.4,6.69,1.73541,0.75006,0.98535,0.00213,0.00152,0.00062,0.00087,0.00087,0.0,0.22,0.18,1.27,0.45,4.31,0.0,1.33,-0.0,0.71,0.13,2.44,0.42,2.32,-0.54,-1.25,3.3,0.75,-3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38,68.0,94.49,26.91,0.0,30.92,25.55,54.0,8.05,3.49,36.14
2007-01-01T18:00:00,2.15,9.31,0.09,0.06,0.0,0.35,0.63,0.03,0.03,0.08,0.02,0.01,0.11,0.2,0.12,0.44,9.31,2.15893,0.78746,1.37146,0.00237,0.00151,0.00086,0.00087,0.00087,1.0e-05,0.22,0.23,1.66,0.59,6.0,0.0,1.69,-0.18,0.51,0.13,2.48,0.48,4.58,-0.42,-1.72,4.28,0.88,-5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44,68.0,112.86,26.91,0.0,28.04,23.98,62.0,13.87,0.0,0.0
2007-01-01T19:00:00,2.7,11.63,0.1,0.06,0.0,0.71,0.77,0.04,0.03,0.08,0.03,0.01,0.1,0.16,0.16,0.45,11.63,2.66155,0.94804,1.71351,0.00297,0.00189,0.00107,0.00109,0.00108,1.0e-05,0.22,0.41,1.96,0.69,7.5,0.0,2.05,0.26,0.6,0.14,2.51,0.54,5.14,-0.33,-1.53,5.0,0.96,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,68.0,115.87,26.91,0.0,23.0,20.07,68.0,12.75,0.0,0.0
2007-01-01T20:00:00,2.7,13.28,0.11,0.06,0.0,0.71,0.78,0.05,0.03,0.08,0.04,0.01,0.1,0.08,0.22,0.42,13.28,2.92656,0.97097,1.95559,0.00312,0.00189,0.00122,0.00109,0.00108,1.0e-05,0.22,0.53,1.96,0.69,8.56,0.0,2.12,0.59,0.76,0.16,2.5,0.58,5.24,-0.3,-1.37,5.06,1.1,-5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.34,68.0,114.33,26.91,0.0,21.92,18.81,65.0,11.63,0.0,0.0
2007-01-01T21:00:00,2.57,14.12,0.12,0.06,0.0,0.7,0.65,0.07,0.03,0.07,0.04,0.01,0.11,0.05,0.27,0.4,14.12,3.03799,0.95824,2.07975,0.00311,0.00181,0.0013,0.00104,0.00103,1.0e-05,0.22,0.43,1.8,0.63,9.1,0.0,1.92,0.87,0.97,0.19,2.47,0.59,5.12,-0.32,-1.32,4.75,1.13,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95,68.0,105.22,26.91,0.0,21.02,17.91,64.0,4.7,0.0,0.0
2007-01-01T22:00:00,2.03,15.63,0.13,0.06,0.0,0.35,0.49,0.08,0.03,0.07,0.03,0.01,0.11,0.03,0.26,0.38,15.63,3.09446,0.79217,2.30229,0.00287,0.00143,0.00144,0.00083,0.00082,1.0e-05,0.21,0.32,1.56,0.55,10.07,0.0,1.65,1.08,1.16,0.21,2.42,0.59,5.14,-0.36,-1.36,4.8,1.16,-4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,68.0,106.06,26.91,0.0,21.02,17.91,64.0,5.82,0.0,0.0
2007-01-01T23:00:00,1.77,17.6,0.16,0.06,0.0,0.34,0.42,0.07,0.03,0.07,0.02,0.01,0.09,0.02,0.16,0.34,17.6,3.30796,0.71581,2.59214,0.00287,0.00125,0.00162,0.00073,0.00072,1.0e-05,0.14,0.21,1.24,0.44,11.34,0.0,1.27,1.25,1.35,0.23,2.36,0.59,5.22,-0.43,-1.37,5.01,1.16,-4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48,68.0,110.39,26.91,0.0,21.02,17.11,55.0,9.17,0.0,0.0
2007-01-02T00:00:00,1.35,20.98,0.17,0.06,0.0,0.33,0.2,0.05,0.03,0.06,0.01,0.0,0.05,0.01,0.07,0.3,20.98,3.60428,0.51334,3.09094,0.00288,0.00095,0.00193,0.00055,0.00054,1.0e-05,0.08,0.15,0.85,0.3,13.52,0.0,0.86,1.35,1.48,0.25,2.26,0.6,5.12,-0.53,-1.45,6.1,1.16,-2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97,68.0,141.72,26.91,0.0,23.0,18.35,50.0,19.69,0.0,0.0
2007-01-02T01:00:00,1.14,22.11,0.17,0.06,0.0,0.32,0.1,0.04,0.03,0.06,0.01,0.0,0.02,0.01,0.03,0.29,22.11,3.68492,0.42804,3.25688,0.00284,0.0008,0.00204,0.00047,0.00046,1.0e-05,0.04,0.07,0.39,0.14,14.25,0.0,0.4,1.47,1.61,0.26,2.21,0.59,5.11,-0.59,-1.32,6.1,1.1,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66,68.0,141.72,26.91,0.0,23.0,18.15,48.0,19.69,0.0,0.0
2007-01-02T02:00:00,0.74,22.37,0.17,0.06,0.0,0.0,0.06,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.28,22.37,3.57745,0.2826,3.29485,0.00258,0.00052,0.00206,0.00031,0.0003,1.0e-05,0.03,0.03,0.2,0.07,14.42,0.0,0.21,1.55,1.72,0.28,2.17,0.6,5.2,-0.62,-1.16,5.67,1.1,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12,68.0,128.08,26.91,0.0,21.92,17.05,46.0,16.11,0.0,0.0
2007-01-02T03:00:00,0.7,22.63,0.18,0.06,0.0,0.0,0.04,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.27,22.63,3.60121,0.26835,3.33287,0.00258,0.00049,0.00209,0.0003,0.00028,1.0e-05,0.02,0.02,0.13,0.05,14.58,0.0,0.14,1.62,1.8,0.28,2.15,0.6,5.09,-0.63,-0.96,5.46,1.13,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48,68.0,126.82,26.91,0.0,23.0,17.47,41.0,16.11,0.0,0.0
2007-01-02T04:00:00,0.95,23.9,0.17,0.06,0.0,0.27,0.04,0.04,0.03,0.06,0.0,0.0,0.0,0.01,0.01,0.26,23.9,3.88022,0.35942,3.5208,0.00287,0.00066,0.0022,0.00039,0.00038,1.0e-05,0.02,0.01,0.16,0.06,15.4,0.0,0.16,1.62,1.86,0.29,2.13,0.6,5.4,-0.63,-0.9,5.85,1.1,-1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,68.0,126.5,26.91,0.0,19.94,15.55,48.0,14.99,0.0,0.0
2007-01-02T05:00:00,0.75,22.42,0.17,0.06,0.0,0.05,0.04,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.27,22.42,3.58311,0.28001,3.3031,0.00259,0.00053,0.00207,0.00031,0.0003,1.0e-05,0.03,0.01,0.33,0.11,14.45,0.0,0.3,1.72,1.93,0.3,2.12,0.61,5.07,-0.63,-0.67,4.77,1.19,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,68.0,107.37,26.91,0.0,21.92,16.78,43.0,8.05,0.0,0.0
2007-01-02T06:00:00,1.13,22.53,0.16,0.06,0.0,0.33,0.12,0.03,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.28,22.53,3.72232,0.40379,3.31853,0.00286,0.00078,0.00208,0.00046,0.00045,1.0e-05,0.05,0.05,1.11,0.39,14.52,0.0,1.0,1.76,2.0,0.31,2.13,0.59,5.12,-0.6,-0.54,4.84,1.14,-2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99,68.0,107.18,26.91,0.0,21.02,16.2,45.0,6.93,0.0,0.0
2007-01-02T07:00:00,1.75,21.22,0.14,0.06,0.0,0.72,0.28,0.03,0.03,0.06,0.01,0.01,0.03,0.03,0.02,0.31,21.22,3.77028,0.64512,3.12517,0.00317,0.00121,0.00196,0.00071,0.00069,1.0e-05,0.1,0.09,2.55,0.9,13.67,0.0,2.27,1.88,2.09,0.31,2.16,0.58,4.82,-0.53,-0.25,4.31,1.16,-2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,68.0,102.85,26.91,0.0,24.08,17.95,37.0,6.93,0.0,0.0
2007-01-02T08:00:00,1.94,18.75,0.12,0.06,0.0,0.73,0.35,0.03,0.03,0.06,0.01,0.01,0.06,0.06,0.03,0.35,18.75,3.473,0.71143,2.76157,0.00308,0.00135,0.00173,0.00078,0.00077,1.0e-05,0.22,0.15,2.84,1.0,12.08,0.0,2.63,2.2,2.27,0.32,2.18,0.55,3.08,-0.48,0.4,3.74,1.07,-3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,68.0,95.85,26.91,0.0,26.96,19.93,34.0,3.36,3.8,19.97
2007-01-02T09:00:00,2.01,16.55,0.08,0.06,0.0,0.73,0.38,0.03,0.03,0.06,0.02,0.02,0.1,0.06,0.04,0.36,16.55,3.05358,0.61582,2.43776,0.00291,0.00138,0.00153,0.0008,0.00079,1.0e-05,0.33,0.27,2.61,0.92,10.67,0.0,2.58,2.44,2.4,0.32,2.17,0.5,0.97,-0.45,0.97,3.47,0.99,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,68.0,93.59,26.91,0.0,28.94,21.74,36.0,4.7,20.29,37.41
2007-01-02T10:00:00,2.02,10.59,0.04,0.06,0.0,0.72,0.39,0.02,0.03,0.06,0.03,0.02,0.14,0.06,0.04,0.36,10.59,2.11441,0.55428,1.56013,0.00236,0.00139,0.00098,0.0008,0.00079,1.0e-05,0.38,0.31,2.19,0.77,6.83,0.0,2.28,3.27,2.8,0.31,2.16,0.43,-4.82,-0.42,2.81,2.48,0.94,-3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.22,68.0,82.6,26.91,0.0,35.96,26.23,30.0,4.7,38.67,118.24
2007-01-02T11:00:00,1.96,5.08,0.02,0.06,0.0,0.7,0.38,0.02,0.03,0.06,0.02,0.02,0.16,0.06,0.05,0.36,5.08,1.27503,0.52722,0.7478,0.00183,0.00136,0.00047,0.00078,0.00078,0.0,0.37,0.27,1.83,0.64,3.27,0.0,1.95,3.38,2.91,0.29,2.13,0.35,-8.5,-0.38,3.72,1.77,0.75,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26,68.0,73.57,26.91,0.0,42.08,29.69,25.0,5.82,29.8,235.85
2007-01-02T12:00:00,1.63,2.78,0.01,0.06,0.0,0.38,0.36,0.01,0.03,0.06,0.02,0.02,0.16,0.07,0.05,0.37,2.78,0.86457,0.4545,0.41007,0.00139,0.00114,0.00026,0.00065,0.00065,0.0,0.33,0.23,1.54,0.54,1.79,0.0,1.65,2.23,2.2,0.24,2.1,0.24,-5.45,-0.34,2.03,1.13,0.59,-3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.91,68.0,61.65,26.91,0.0,48.02,32.57,15.0,4.7,61.18,110.63
2007-01-02T13:00:00,1.87,1.35,0.01,0.06,0.0,0.64,0.35,0.01,0.03,0.07,0.02,0.02,0.15,0.08,0.06,0.38,1.35,0.74181,0.5425,0.19931,0.00143,0.00131,0.00012,0.00075,0.00075,0.0,0.3,0.19,1.3,0.46,0.87,0.0,1.41,1.8,1.86,0.19,2.07,0.19,-5.07,-0.29,1.83,1.07,0.43,-3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.12,68.0,61.39,26.91,0.0,48.92,33.37,16.0,5.82,35.82,148.67
2007-01-02T14:00:00,1.54,0.75,0.0,0.06,0.0,0.34,0.35,0.01,0.03,0.07,0.02,0.02,0.14,0.06,0.07,0.38,0.75,0.56717,0.45657,0.1106,0.00114,0.00107,7.0e-05,0.00061,0.00061,0.0,0.27,0.22,1.14,0.4,0.48,0.0,1.27,1.39,1.42,0.15,2.03,0.16,-4.1,-0.25,1.39,1.07,0.41,-3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.92,68.0,61.39,26.91,0.0,48.92,34.0,19.0,5.82,71.64,45.33
2007-01-02T15:00:00,1.46,0.0,0.0,0.0,0.0,0.34,0.35,0.01,0.03,0.07,0.01,0.01,0.12,0.08,0.07,0.37,0.0,0.40768,0.40768,0.0,0.00102,0.00102,0.0,0.00058,0.00058,0.0,0.22,0.17,1.08,0.38,0.0,0.0,1.15,1.4,1.35,0.11,2.0,0.16,-5.52,-0.2,1.96,1.02,0.41,-3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.51,68.2,61.35,26.91,0.0,50.0,36.02,25.0,6.93,45.65,116.66
