type	subtype	4C	5A	5B	5C	6A	6B	6C
range_induction		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
oven_convection		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ceiling_fan_cfm_per_w		122	122	122	122	122	122	122
hvac_heating_fuel	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity
hvac_heating_fuel	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas
hvac_heating_fuel	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil
hvac_boiler_afue	natural gas	0.9	0.9	0.9	0.9	0.9	0.9	0.9
hvac_boiler_afue	fuel oil	0.86	0.86	0.86	0.86	0.86	0.86	0.86
hvac_central_boiler_et		0.86	0.86	0.86	0.86	0.86	0.86	0.86
hvac_central_boiler_wlhp_et		0.89	0.89	0.89	0.89	0.89	0.89	0.89
hvac_furnace_afue	natural gas	0.95	0.95	0.95	0.95	0.95	0.95	0.95
hvac_furnace_afue	fuel oil	0.85	0.85	0.85	0.85	0.85	0.85	0.85
hvac_hp_type		air-to-air	air-to-air	air-to-air	air-to-air	air-to-air	air-to-air	air-to-air
hvac_ashp_hspf		9.5	9.5	9.5	9.5	9.5	9.5	9.5
hvac_gshp_cop								
hvac_wlhp_cop		4.2	4.2	4.2	4.2	4.2	4.2	4.2
hvac_ac_compressor		single stage	single stage	single stage	single stage	single stage	single stage	single stage
hvac_ashp_compressor		single stage	single stage	single stage	single stage	single stage	single stage	single stage
hvac_ac_seer		13	13	13	13	13	13	13
hvac_ashp_seer		15	15	15	15	15	15	15
hvac_ac_eer		11.3	11.3	11.3	11.3	11.3	11.3	11.3
hvac_ashp_eer		12.4	12.4	12.4	12.4	12.4	12.4	12.4
hvac_gshp_eer								
hvac_wlhp_eer		14	14	14	14	14	14	14
hvac_chiller_kw_per_ton		0.78	0.78	0.78	0.78	0.78	0.78	0.78
hvac_charge_defect_ratio		-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
hvac_airflow_defect_ratio		-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
hvac_fan_watts_per_cfm		0.58	0.58	0.58	0.58	0.58	0.58	0.58
shared_motor_efficiency		0.85	0.85	0.85	0.85	0.85	0.85	0.85
hot_water_distribution_pipe_r_value		3	3	3	3	3	3	3
hot_water_distribution_low_flow		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
water_heater_fuel_type	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity
water_heater_fuel_type	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas
water_heater_fuel_type	fuel oil	electricity	electricity	electricity	electricity	electricity	electricity	electricity
water_heater_type	electricity	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater
water_heater_type	natural gas	instantaneous water heater	instantaneous water heater	instantaneous water heater	instantaneous water heater	instantaneous water heater	instantaneous water heater	instantaneous water heater
water_heater_type	fuel oil	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater	heat pump water heater
water_heater_eff_units		EF	EF	EF	EF	EF	EF	EF
water_heater_eff_fixed	electricity	2.5	2.5	2.5	2.5	2	2	2
water_heater_eff_fixed	natural gas	0.91	0.91	0.91	0.91	0.91	0.91	0.91
water_heater_eff_fixed	fuel oil	2.5	2.5	2.5	2.5	2	2	2
water_heater_eff_variable	electricity	0	0	0	0	0	0	0
water_heater_eff_variable	natural gas	0	0	0	0	0	0	0
water_heater_eff_variable	fuel oil	0	0	0	0	0	0	0
water_heater_volume	electricity	60	60	60	60	60	60	60
water_heater_volume	natural gas	60	60	60	60	60	60	60
water_heater_volume	fuel oil	60	60	60	60	60	60	60
water_heater_solar_fraction								
duct_unconditioned_r_value	"supply, attic"	8	8	8	8	8	8	8
duct_unconditioned_r_value	other	8	8	8	8	8	8	8
duct_lto_cfm25_per_100sqft		4	4	4	4	4	4	4
duct_lto_cfm25_min		40	40	40	40	40	40	40
duct_location_fractions	"slab foundation, 1 story"	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0
duct_location_fractions	"slab foundation, 2 story"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"
duct_location_fractions	"crawlspace foundation, 1 story"	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0
duct_location_fractions	"crawlspace foundation, 2 story"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"
duct_location_fractions	"basement foundation, 1 story"	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0
duct_location_fractions	"basement foundation, 2 story"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"
duct_location_fractions	"ambient foundation, 1 story"	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0
duct_location_fractions	"ambient foundation, 2 story"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"
duct_location_fractions	adiabatic foundation	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0
infil_air_leakage_ach50		3	3	3	3	3	3	3
infil_air_leakage_cfm50_per_sqft								
mechanical_ventilation_fan_type		exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only
mechanical_ventilation_fan_sre								
mechanical_ventilation_fan_cfm_per_w		2.8	2.8	2.8	2.8	2.8	2.8	2.8
