type,subtype,program,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7,8,
boiler_eff,natural_gas_propane_wood_wood_pellets,2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
furnace_afue,fuel_oil,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
furnace_afue,natural_gas_propane_wood_wood_pellets,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
furnace_afue,fuel_oil,2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
furnace_afue,natural_gas_propane_wood_wood_pellets,2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
heat_pump_backup_fuel,,1.0,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,,,
heat_pump_backup_fuel,,2.0,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,,,
ashp_hspf,,1.0,8.2,8.2,8.2,8.2,8.2,8.2,9,9,9,9,9,10,10,10,10,10,10,10,10,10,
ashp_hspf,,2.0,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,
gshp_cop,,1.0,,,,,,,,,,,,,,,,,,,3.6,3.6,
gshp_cop,,2.0,,,,,,,,,,,,,,,,,,,,,
ac_seer,,1.0,18,18,18,18,18,18,15,15,15,15,15,13,13,13,13,13,13,13,13,13,
ac_seer,,2.0,18,18,18,18,18,18,16,16,16,16,16,14,14,14,14,14,14,14,14,14,
ashp_seer,,1.0,18,18,18,18,18,18,15,15,15,15,15,13,13,13,13,13,13,13,,,
ashp_seer,,2.0,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
gshp_eer,,1.0,,,,,,,,,,,,,,,,,,,17.1,17.1,
gshp_eer,,2.0,,,,,,,,,,,,,,,,,,,,,
fan_cfm_per_w,,1.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
fan_cfm_per_w,,2.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
slab_perimeter_ins_depth,,1.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,
slab_perimeter_ins_depth,,2.0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4,
slab_perimeter_ins_rvalue,,1.0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,
slab_perimeter_ins_rvalue,,2.0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
slab_under_ins_width,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
slab_under_ins_width,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
slab_under_ins_rvalue,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
slab_under_ins_rvalue,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ceiling_ufactor,,1.0,0.035,0.035,0.035,0.03,0.03,0.03,0.03,0.03,0.03,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,
ceiling_ufactor,,2.0,0.035,0.035,0.035,0.026,0.026,0.026,0.026,0.026,0.026,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,
window_ufactor,,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
window_ufactor,,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,
window_shgc,,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
window_shgc,,2.0,0.23,0.23,0.23,0.23,0.23,0.23,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
